time,open,high,low,close
670516200,264.9,286.05,259.35,263.65
673104600,263.65,279,256.54,279
675955800,279,281.42,249.78,254.32
678375000,254.19,272.34,249.99,272.15
681053400,272.15,290.91,263.55,287.4
683818200,287.4,290.43,276.32,287.53
686323800,287.53,297.76,276.51,292.5
689005800,292.5,304.55,277.9,284.79
691684200,284.79,332.58,281.09,330.85
694276200,330.85,357.7,322.56,338.31
697127400,338.31,356.28,332.97,345.88
699546600,345.88,348.39,320.15,323.05
702138600,323.05,326.79,291.35,307.86
704727000,307.86,317.26,300.53,315.29
707405400,315.29,319.22,288.01,301.23
709997400,301.23,311.75,292.8,310.89
712848600,310.89,313.48,287.63,299.26
715354200,299.26,324.69,298.1,313.18
717946200,313.18,332.46,291.96,329.15
720714600,329.15,351.29,324.98,350.96
723220200,350.96,363.2,344.79,360.18
725898600,360.18,384.67,355.36,370.56
728577000,370.56,379.26,337.14,351.14
730996200,351.14,366.53,345.43,359.42
733674600,359.42,360.74,326.56,339.94
736435800,339.94,376.53,339.94,368.11
738941400,368.11,374.91,352.75,366.12
741533400,366.12,366.51,346.63,352.86
744298200,352.86,379.64,352.86,372.65
746890200,372.65,388.33,358.02,382.71
749482200,382.71,396.2,375.63,390.98
752164200,390.98,396.87,371.82,386.76
754756200,386.76,401.81,381.84,397.72
757607400,398.14,415.42,392.05,413.99
760113000,413.99,413.99,392.33,412.17
762532200,412.17,418.99,372.32,382.96
765210600,382.96,391.94,352.12,373.25
767885400,373.25,381.31,353.43,378.85
770477400,378.85,385.16,350.03,360.3
773069400,360.3,373.29,352.74,370.16
775747800,370.16,402.87,363.81,397.9
778426200,397.9,407.1,386.11,393.85
781191000,393.85,415.88,376.8,413.05
783700200,413.05,417.35,390.89,404.82
786292200,404.82,406.5,380.14,404.27
789057000,404.27,419.98,394.59,405.33
791649000,405.33,434.87,405.33,432.5
794068200,432.5,462.85,429.05,447.15
796915800,447.15,470.15,438.38,469.56
799335000,469.56,509.24,463.43,488.1
802013400,488.1,546.57,486.07,538.03
804778200,538.03,600.01,530.4,568.88
807283800,568.88,601.61,541.64,576.77
809962200,576.77,613.78,558.17,585.08
812640600,585.08,613,527.89,598.78
815236200,598.78,623.53,562.5,593.72
817828200,593.72,604.13,540.97,576.23
