time,close
-489283200,0.8
-486604800,1.22
-483926400,1.07
-481334400,0.85
-478656000,0.83
-476064000,1.28
-473385600,1.39
-470707200,1.29
-468288000,1.35
-465609600,1.43
-463017600,1.43
-460339200,1.64
-457747200,1.68
-455068800,1.96
-452390400,2.18
-449798400,2.24
-447120000,2.35
-444528000,2.48
-441849600,2.45
-439171200,2.5
-436665600,2.5
-433987200,2.62
-431395200,2.75
-428716800,2.71
-426124800,2.75
-423446400,2.73
-420768000,2.95
-418176000,2.96
-415497600,2.88
-412905600,2.94
-410227200,2.84
-407548800,3
-405129600,2.96
-402451200,3
-399859200,3
-397180800,3
-394588800,2.99
-391910400,3.24
-389232000,3.47
-386640000,3.5
-383961600,3.28
-381369600,2.98
-378691200,2.72
-376012800,1.67
-373593600,1.2
-370915200,1.26
-368323200,0.63
-365644800,0.93
-363052800,0.68
-360374400,1.53
-357696000,1.76
-355104000,1.8
-352425600,2.27
-349833600,2.42
-347155200,2.48
-344476800,2.43
-342057600,2.8
-339379200,2.96
-336787200,2.9
-334108800,3.39
-331516800,3.47
-328838400,3.5
-326160000,3.76
-323568000,3.98
-320889600,4
-318297600,3.99
-315619200,3.99
-312940800,3.97
-310435200,3.84
-307756800,3.92
-305164800,3.85
-302486400,3.32
-299894400,3.23
-297216000,2.98
-294537600,2.6
-291945600,2.47
-289267200,2.44
-286675200,1.98
-283996800,1.45
-281318400,2.54
-278899200,2.02
-276220800,1.49
-273628800,1.98
-270950400,1.73
-268358400,1.17
-265680000,2
-263001600,1.88
-260409600,2.26
-257731200,2.61
-255139200,2.33
-252460800,2.15
-249782400,2.37
-247363200,2.85
-244684800,2.78
-242092800,2.36
-239414400,2.68
-236822400,2.71
-234144000,2.93
-231465600,2.9
-228873600,2.9
-226195200,2.94
-223603200,2.93
-220924800,2.92
-218246400,3
-215827200,2.98
-213148800,2.9
-210556800,3
-207878400,2.99
-205286400,3.02
-202608000,3.49
-199929600,3.48
-197337600,3.5
-194659200,3.48
-192067200,3.38
-189388800,3.48
-186710400,3.48
-184204800,3.43
-181526400,3.47
-178934400,3.5
-176256000,3.5
-173664000,3.42
-170985600,3.5
-168307200,3.45
-165715200,3.36
-163036800,3.52
-160444800,3.85
-157766400,3.9
-155088000,3.98
-152668800,4.05
-149990400,4.09
-147398400,4.1
-144720000,4.05
-142128000,4.09
-139449600,4.12
-136771200,4.02
-134179200,4.08
-131500800,4.1
