Date,Raw,Pct,6m_pct_change,annualized_change
03/01/1981,88.6,0.006818181818181834,0.05601907032181154,0.11203814064362308
04/01/1981,89.1,0.0056433408577878375,0.05194805194805185,0.1038961038961037
05/01/1981,89.7,0.006734006734006925,0.047897196261682345,0.09579439252336469
06/01/1981,90.5,0.008918617614269708,0.04745370370370364,0.09490740740740727
07/01/1981,91.5,0.011049723756906049,0.049311926605504555,0.09862385321100911
08/01/1981,92.2,0.007650273224043769,0.04772727272727276,0.09545454545454551
09/01/1981,93.1,0.009761388286333883,0.050790067720090294,0.10158013544018059
10/01/1981,93.4,0.003222341568206444,0.048260381593715054,0.09652076318743011
11/01/1981,93.8,0.004282655246252487,0.0457079152731326,0.0914158305462652
12/01/1981,94.1,0.0031982942430703876,0.03977900552486181,0.07955801104972363
01/01/1982,94.4,0.0031880977683316214,0.03169398907103831,0.06338797814207663
02/01/1982,94.7,0.0031779661016948513,0.027114967462039046,0.05422993492407809
03/01/1982,94.7,0.0,0.017185821697099986,0.03437164339419997
04/01/1982,95.0,0.0031678986272438703,0.017130620985010645,0.03426124197002129
05/01/1982,95.9,0.0094736842105263,0.02238805970149263,0.04477611940298526
06/01/1982,97.0,0.011470281543274119,0.030818278427205165,0.06163655685441033
07/01/1982,97.5,0.005154639175257714,0.0328389830508474,0.0656779661016948
08/01/1982,97.7,0.002051282051282133,0.03167898627243928,0.06335797254487856
09/01/1982,97.7,0.0,0.03167898627243928,0.06335797254487856
10/01/1982,98.1,0.004094165813715467,0.03263157894736836,0.06526315789473672
11/01/1982,98.0,-0.0010193679918449883,0.02189781021897804,0.04379562043795608
12/01/1982,97.7,-0.003061224489795844,0.007216494845360854,0.014432989690721707
01/01/1983,97.9,0.0020470829068577334,0.004102564102564161,0.008205128205128321
02/01/1983,98.0,0.0010214504596526286,0.0030706243602865624,0.006141248720573125
03/01/1983,98.1,0.0010204081632652073,0.004094165813715368,0.008188331627430736
04/01/1983,98.8,0.007135575942915473,0.007135575942915422,0.014271151885830844
05/01/1983,99.2,0.004048582995951566,0.012244897959183702,0.024489795918367405
06/01/1983,99.4,0.002016129032258007,0.017400204708290713,0.034800409416581427
07/01/1983,99.8,0.004024144869215096,0.01940755873340134,0.03881511746680268
08/01/1983,100.1,0.0030060120240480437,0.02142857142857137,0.04285714285714274
