date,gdp
1965-07-01,5.2206
1965-08-01,5.4134
1965-09-01,5.6062
1965-10-01,5.799
1965-11-01,5.919033333333333
1965-12-01,6.039066666666667
1966-01-01,6.1591
1966-02-01,4.883
1966-03-01,3.6069
1966-04-01,2.3308
1966-05-01,3.070933333333333
1966-06-01,3.811066666666666
1966-07-01,4.5512
1966-08-01,4.5148
1966-09-01,4.4784
1966-10-01,4.442
1966-11-01,2.961333333333333
1966-12-01,1.4806666666666666
1967-01-01,0.0
1967-02-01,0.7940333333333333
1967-03-01,1.5880666666666665
1967-04-01,2.3821
1967-05-01,2.9938666666666665
1967-06-01,3.605633333333333
1967-07-01,4.2174
1967-08-01,4.3043
1967-09-01,4.3912
1967-10-01,4.4781
1967-11-01,5.011566666666667
1967-12-01,5.5450333333333335
1968-01-01,6.0785
1968-02-01,5.818733333333333
1968-03-01,5.558966666666667
1968-04-01,5.2992
1968-05-01,5.193133333333333
1968-06-01,5.087066666666667
1968-07-01,4.981
1968-08-01,4.611866666666667
1968-09-01,4.242733333333334
1968-10-01,3.8736
1968-11-01,3.5580333333333334
1968-12-01,3.2424666666666666
1969-01-01,2.9269
1969-02-01,2.7325
1969-03-01,2.5381
1969-04-01,2.3437
1969-05-01,2.2465333333333333
1969-06-01,2.149366666666667
1969-07-01,2.0522
1969-08-01,1.3498999999999999
1969-09-01,0.6476
1969-10-01,-0.0547
1969-11-01,-0.5631333333333334
1969-12-01,-1.0715666666666668
1970-01-01,-1.58
1970-02-01,-0.9611333333333334
1970-03-01,-0.3422666666666667
1970-04-01,0.2766
1970-05-01,0.6652
1970-06-01,1.0538
1970-07-01,1.4424
1970-08-01,-0.14256666666666673
1970-09-01,-1.7275333333333334
1970-10-01,-3.3125
1970-11-01,-0.06686666666666641
1970-12-01,3.178766666666667
1971-01-01,6.4244
1971-02-01,5.505366666666667
1971-03-01,4.586333333333333
1971-04-01,3.6673
1971-05-01,3.3938
1971-06-01,3.1203
1971-07-01,2.8468
1971-08-01,3.922533333333333
1971-09-01,4.998266666666666
1971-10-01,6.074
1971-11-01,5.804433333333333
1971-12-01,5.534866666666667
1972-01-01,5.2653
1972-02-01,6.492966666666667
1972-03-01,7.720633333333334
1972-04-01,8.9483
1972-05-01,7.947266666666667
1972-06-01,6.946233333333334
1972-07-01,5.9452
1972-08-01,6.778433333333333
1972-09-01,7.611666666666667
1972-10-01,8.4449
1972-11-01,8.250233333333334
1972-12-01,8.055566666666667
1973-01-01,7.8609
1973-02-01,6.100933333333334
1973-03-01,4.340966666666667
1973-04-01,2.581
1973-05-01,2.9027
1973-06-01,3.2244
1973-07-01,3.5461
1973-08-01,2.8100333333333336
1973-09-01,2.073966666666667
1973-10-01,1.3379
1973-11-01,-1.0531
1973-12-01,-3.4440999999999997
1974-01-01,-5.8351
1974-02-01,-4.289633333333333
1974-03-01,-2.744166666666666
1974-04-01,-1.1987
1974-05-01,-1.7559
1974-06-01,-2.3131
1974-07-01,-2.8703
1974-08-01,-4.946766666666667
1974-09-01,-7.023233333333334
1974-10-01,-9.0997
1974-11-01,-9.522066666666667
1974-12-01,-9.944433333333333
1975-01-01,-10.3668
1975-02-01,-7.013633333333333
1975-03-01,-3.6604666666666663
1975-04-01,-0.3073
1975-05-01,3.5145999999999997
1975-06-01,7.3365
1975-07-01,11.1584
1975-08-01,9.238733333333334
1975-09-01,7.319066666666666
1975-10-01,5.3994
1975-11-01,6.100866666666667
1975-12-01,6.802333333333333
1976-01-01,7.5038
1976-02-01,6.4594
1976-03-01,5.414999999999999
1976-04-01,4.3706
1976-05-01,4.223599999999999
1976-06-01,4.0766
1976-07-01,3.9296
1976-08-01,3.605166666666667
1976-09-01,3.2807333333333335
1976-10-01,2.9563
1976-11-01,3.7117666666666667
1976-12-01,4.467233333333333
1977-01-01,5.2227
1977-02-01,5.626799999999999
1977-03-01,6.0309
1977-04-01,6.435
1977-05-01,5.560233333333333
1977-06-01,4.685466666666667
1977-07-01,3.8107
1977-08-01,3.9476
1977-09-01,4.0845
1977-10-01,4.2214
1977-11-01,2.6284
1977-12-01,1.0354
1978-01-01,-0.5576
1978-02-01,2.096366666666667
1978-03-01,4.750333333333334
1978-04-01,7.4043
1978-05-01,6.0789
1978-06-01,4.753500000000001
1978-07-01,3.4281
1978-08-01,4.323733333333333
1978-09-01,5.219366666666667
1978-10-01,6.115
1978-11-01,4.3224
1978-12-01,2.5298
1979-01-01,0.7372
1979-02-01,-0.5947666666666668
1979-03-01,-1.9267333333333334
1979-04-01,-3.2587
1979-05-01,-1.3684666666666667
1979-06-01,0.5217666666666667
1979-07-01,2.412
1979-08-01,2.0849666666666664
1979-09-01,1.7579333333333333
1979-10-01,1.4309
1979-11-01,1.3164333333333333
1979-12-01,1.2019666666666666
1980-01-01,1.0875
1980-02-01,-2.295266666666667
1980-03-01,-5.6780333333333335
1980-04-01,-9.0608
1980-05-01,-5.708
1980-06-01,-2.3552
1980-07-01,0.9976
1980-08-01,2.3445666666666667
1980-09-01,3.691533333333333
1980-10-01,5.0385
1980-11-01,5.528133333333333
1980-12-01,6.017766666666667
1981-01-01,6.5074
1981-02-01,3.7009999999999996
1981-03-01,0.8945999999999996
1981-04-01,-1.9118
1981-05-01,-1.4683333333333333
1981-06-01,-1.0248666666666666
1981-07-01,-0.5814
1981-08-01,-2.129233333333333
1981-09-01,-3.6770666666666663
1981-10-01,-5.2249
1981-11-01,-4.780833333333334
1981-12-01,-4.336766666666667
1982-01-01,-3.8927
1982-02-01,-2.038666666666667
1982-03-01,-0.1846333333333332
