Date,CPI Raw,CPI MoM%,CPI 6M % Change,CPI Annualized % Change,Core Raw,Core MoM%,Core 6M % Change,Core Annualized % Change,GDP,Unemployment Rate, SPX , DJI , NDX ,Fed Funds Rate
6/1/1986,109.4,0.4%,-0.1%,-0.2%,113.4,0.3%,1.8%,3.6%,1.968266667,7.2, 250.84 ," 1,892.70 ", 162.62 ,6.92
7/1/1986,109.5,0.1%,-0.4%,-0.7%,113.8,0.4%,1.7%,3.4%,2.4141,7, 236.12 ," 1,775.30 ", 144.71 ,6.56
8/1/1986,109.6,0.1%,-0.1%,-0.2%,114.2,0.4%,1.8%,3.6%,2.191866667,6.9, 252.93 ," 1,898.30 ", 151.70 ,6.17
9/1/1986,110,0.4%,0.8%,1.6%,114.6,0.4%,1.9%,3.7%,1.969633333,7, 231.32 ," 1,767.60 ", 137.49 ,5.89
10/1/1986,110.2,0.2%,1.4%,2.8%,115,0.3%,1.9%,3.7%,1.7474,7, 243.98 ," 1,877.80 ", 144.48 ,5.85
11/1/1986,110.4,0.2%,1.3%,2.6%,115.3,0.3%,1.9%,3.9%,2.597966667,6.9, 249.22 ," 1,914.20 ", 147.94 ,6.04
12/1/1986,110.8,0.4%,1.3%,2.6%,115.6,0.3%,1.9%,3.9%,3.448533333,6.6, 242.16 ," 1,896.00 ", 141.40 ,6.91
1/1/1987,111.4,0.5%,1.7%,3.5%,115.9,0.3%,1.8%,3.7%,4.2991,6.6, 274.08 ," 2,158.00 ", 166.68 ,6.43
2/1/1987,111.8,0.4%,2.0%,4.0%,116.2,0.3%,1.8%,3.5%,3.7297,6.6, 284.20 ," 2,224.00 ", 182.75 ,6.1
3/1/1987,112.2,0.4%,2.0%,4.0%,116.6,0.3%,1.7%,3.5%,3.1603,6.6, 291.70 ," 2,304.70 ", 186.04 ,6.13
4/1/1987,112.7,0.4%,2.3%,4.5%,117.3,0.6%,2.0%,4.0%,2.5909,6.3, 288.35 ," 2,286.40 ", 184.83 ,6.37
5/1/1987,113,0.3%,2.4%,4.7%,117.7,0.3%,2.1%,4.2%,3.0065,6.3, 290.10 ," 2,291.60 ", 188.77 ,6.85
6/1/1987,113.5,0.4%,2.4%,4.9%,117.9,0.2%,2.0%,4.0%,3.4221,6.2, 304.00 ," 2,418.50 ", 189.24 ,6.73
7/1/1987,113.8,0.3%,2.2%,4.3%,118.3,0.3%,2.1%,4.1%,3.8377,6.1, 318.66 ," 2,572.10 ", 196.35 ,6.58
8/1/1987,114.3,0.4%,2.2%,4.5%,118.7,0.3%,2.2%,4.3%,3.942066667,6, 329.79 ," 2,663.00 ", 209.57 ,6.73
9/1/1987,114.7,0.3%,2.2%,4.5%,119.2,0.4%,2.2%,4.5%,4.046433333,5.9, 321.83 ," 2,596.30 ", 205.51 ,7.22
10/1/1987,115,0.3%,2.0%,4.1%,119.8,0.5%,2.1%,4.3%,4.1508,6, 251.79 ," 1,993.50 ", 150.07 ,7.29
11/1/1987,115.4,0.3%,2.1%,4.2%,120.1,0.3%,2.0%,4.1%,3.522533333,5.8, 230.31 ," 1,833.60 ", 137.13 ,6.69
12/1/1987,115.6,0.2%,1.9%,3.7%,120.4,0.2%,2.1%,4.2%,2.894266667,5.7, 247.09 ," 1,938.80 ", 156.25 ,6.77
1/1/1988,116,0.3%,1.9%,3.9%,120.9,0.4%,2.2%,4.4%,2.266,5.7, 257.07 ," 1,958.20 ", 159.13 ,6.83
2/1/1988,116.2,0.2%,1.7%,3.3%,121.2,0.2%,2.1%,4.2%,2.540233333,5.7, 267.82 ," 2,071.60 ", 172.64 ,6.58
3/1/1988,116.5,0.3%,1.6%,3.1%,121.7,0.4%,2.1%,4.2%,2.814466667,5.7, 258.89 ," 1,988.10 ", 173.26 ,6.58
4/1/1988,117.2,0.6%,1.9%,3.8%,122.3,0.5%,2.1%,4.2%,3.0887,5.4, 261.33 ," 2,032.30 ", 175.92 ,6.87
5/1/1988,117.5,0.3%,1.8%,3.6%,122.7,0.3%,2.2%,4.3%,2.8047,5.6, 262.14 ," 2,031.10 ", 173.35 ,7.09
6/1/1988,118,0.4%,2.1%,4.2%,123.2,0.4%,2.3%,4.7%,2.5207,5.4, 273.50 ," 2,141.70 ", 189.02 ,7.51
7/1/1988,118.5,0.4%,2.2%,4.3%,123.6,0.3%,2.2%,4.5%,2.2367,5.4, 272.01 ," 2,128.70 ", 181.16 ,7.75
8/1/1988,119,0.4%,2.4%,4.8%,124,0.3%,2.3%,4.6%,2.154466667,5.6, 261.52 ," 2,031.70 ", 170.99 ,8.01
9/1/1988,119.5,0.4%,2.6%,5.2%,124.7,0.6%,2.5%,4.9%,2.072233333,5.4, 271.91 ," 2,112.90 ", 179.37 ,8.19
10/1/1988,119.9,0.3%,2.3%,4.6%,125.2,0.4%,2.4%,4.7%,1.99,5.4, 278.97 ," 2,148.70 ", 174.78 ,8.3
11/1/1988,120.3,0.3%,2.4%,4.8%,125.6,0.3%,2.4%,4.7%,3.175466667,5.3, 273.69 ," 2,114.50 ", 169.18 ,8.35
12/1/1988,120.7,0.3%,2.3%,4.6%,126,0.3%,2.3%,4.5%,4.360933333,5.3, 277.72 ," 2,168.60 ", 177.41 ,8.76
1/1/1989,121.2,0.4%,2.3%,4.6%,126.5,0.4%,2.3%,4.7%,5.5464,5.4, 297.48 ," 2,342.30 ", 186.47 ,9.12
2/1/1989,121.6,0.3%,2.2%,4.4%,126.9,0.3%,2.3%,4.7%,4.256266667,5.2, 288.86 ," 2,258.40 ", 183.79 ,9.36
3/1/1989,122.2,0.5%,2.3%,4.5%,127.4,0.4%,2.2%,4.3%,2.966133333,5, 294.87 ," 2,293.60 ", 185.87 ,9.85
4/1/1989,123.1,0.7%,2.7%,5.3%,127.8,0.3%,2.1%,4.2%,1.676,5.2, 309.64 ," 2,418.80 ", 200.47 ,9.84
5/1/1989,123.7,0.5%,2.8%,5.7%,128.3,0.4%,2.1%,4.3%,1.951,5.2, 320.52 ," 2,480.20 ", 214.54 ,9.81
6/1/1989,124.1,0.3%,2.8%,5.6%,128.8,0.4%,2.2%,4.4%,2.226,5.3, 317.98 ," 2,440.10 ", 204.59 ,9.53
7/1/1989,124.5,0.3%,2.7%,5.4%,129.2,0.3%,2.1%,4.3%,2.501,5.2, 346.08 ," 2,660.70 ", 214.27 ,9.24
8/1/1989,124.5,0.0%,2.4%,4.8%,129.5,0.2%,2.0%,4.1%,1.8342,5.2, 351.45 ," 2,737.20 ", 222.01 ,8.99
9/1/1989,124.8,0.2%,2.1%,4.3%,129.9,0.3%,2.0%,3.9%,1.1674,5.3, 349.15 ," 2,692.80 ", 226.39 ,9.02
10/1/1989,125.4,0.5%,1.9%,3.7%,130.6,0.5%,2.2%,4.4%,0.5006,5.3, 340.36 ," 2,645.00 ", 222.62 ,8.84
11/1/1989,125.9,0.4%,1.8%,3.6%,131.1,0.4%,2.2%,4.4%,1.032333333,5.4, 345.99 ," 2,706.20 ", 224.45 ,8.55
12/1/1989,126.3,0.3%,1.8%,3.5%,131.6,0.4%,2.2%,4.3%,1.564066667,5.4, 353.40 ," 2,753.20 ", 223.84 ,8.45
1/1/1990,127.5,1.0%,2.4%,4.8%,132.1,0.4%,2.2%,4.5%,2.0958,5.4, 329.08 ," 2,590.50 ", 201.94 ,8.23
2/1/1990,128,0.4%,2.8%,5.6%,132.7,0.5%,2.5%,4.9%,1.8038,5.3, 331.89 ," 2,627.20 ", 207.91 ,8.24
3/1/1990,128.6,0.5%,3.0%,6.1%,133.5,0.6%,2.8%,5.5%,1.5118,5.2, 339.94 ," 2,706.90 ", 213.15 ,8.28
4/1/1990,128.9,0.2%,2.8%,5.6%,134,0.4%,2.6%,5.2%,1.2198,5.4, 330.80 ," 2,656.70 ", 205.82 ,8.26
5/1/1990,129.1,0.2%,2.5%,5.1%,134.4,0.3%,2.5%,5.0%,1.410833333,5.4, 361.23 ," 2,876.60 ", 236.15 ,8.18
6/1/1990,129.9,0.6%,2.9%,5.7%,135.1,0.5%,2.7%,5.3%,1.601866667,5.2, 358.02 ," 2,880.60 ", 238.46 ,8.29
7/1/1990,130.5,0.5%,2.4%,4.7%,135.8,0.5%,2.8%,5.6%,1.7929,5.5, 356.15 ," 2,905.40 ", 223.38 ,8.15
8/1/1990,131.6,0.8%,2.8%,5.6%,136.6,0.6%,2.9%,5.9%,0.4848,5.7, 322.56 ," 2,614.30 ", 193.62 ,8.13
9/1/1990,132.5,0.7%,3.0%,6.1%,137.1,0.4%,2.7%,5.4%,-0.8233,5.9, 306.05 ," 2,452.40 ", 177.05 ,8.2
10/1/1990,133.4,0.7%,3.5%,7.0%,137.6,0.4%,2.7%,5.4%,-2.1314,5.9, 304.00 ," 2,442.30 ", 172.55 ,8.11
11/1/1990,133.7,0.2%,3.6%,7.1%,138,0.3%,2.7%,5.4%,-2.3579,6.2, 322.22 ," 2,560.40 ", 192.65 ,7.81
12/1/1990,134.2,0.4%,3.3%,6.6%,138.6,0.4%,2.6%,5.2%,-2.5844,6.3, 330.22 ," 2,633.60 ", 200.53 ,7.31
1/1/1991,134.7,0.4%,3.2%,6.4%,139.5,0.6%,2.7%,5.4%,-2.8109,6.4, 343.93 ," 2,736.40 ", 232.42 ,6.91
2/1/1991,134.8,0.1%,2.4%,4.9%,140.2,0.5%,2.6%,5.3%,-1.7347,6.6, 367.07 ," 2,882.10 ", 250.01 ,6.25
3/1/1991,134.8,0.0%,1.7%,3.5%,140.5,0.2%,2.5%,5.0%,-0.6585,6.8, 375.22 ," 2,913.90 ", 264.90 ,6.12
4/1/1991,135.1,0.2%,1.3%,2.5%,140.9,0.3%,2.4%,4.8%,0.4177,6.7, 375.35 ," 2,887.90 ", 263.65 ,5.91
5/1/1991,135.6,0.4%,1.4%,2.8%,141.3,0.3%,2.4%,4.8%,1.068766667,6.9, 389.83 ," 3,027.50 ", 279.00 ,5.78
6/1/1991,136,0.3%,1.3%,2.7%,141.8,0.4%,2.3%,4.6%,1.719833333,6.9, 371.16 ," 2,906.80 ", 254.32 ,5.9
7/1/1991,136.2,0.1%,1.1%,2.2%,142.3,0.4%,2.0%,4.0%,2.3709,6.8, 387.81 ," 3,024.80 ", 272.15 ,5.82
8/1/1991,136.6,0.3%,1.3%,2.7%,142.9,0.4%,1.9%,3.9%,1.679433333,6.9, 395.43 ," 3,043.60 ", 287.40 ,5.66
9/1/1991,137,0.3%,1.6%,3.3%,143.4,0.3%,2.1%,4.1%,0.987966667,6.9, 387.86 ," 3,016.77 ", 287.53 ,5.45
10/1/1991,137.2,0.1%,1.6%,3.1%,143.7,0.2%,2.0%,4.0%,0.2965,7, 392.46 ," 3,069.10 ", 292.50 ,5.21
11/1/1991,137.8,0.4%,1.6%,3.2%,144.2,0.3%,2.1%,4.1%,0.857133333,7, 375.22 ," 2,894.68 ", 284.79 ,4.81
12/1/1991,138.2,0.3%,1.6%,3.2%,144.7,0.3%,2.0%,4.1%,1.417766667,7.3, 417.09 ," 3,168.83 ", 330.85 ,4.43
1/1/1992,138.3,0.1%,1.5%,3.1%,145.1,0.3%,2.0%,3.9%,1.9784,7.3, 408.79 ," 3,223.39 ", 338.31 ,4.03
2/1/1992,138.6,0.2%,1.5%,2.9%,145.4,0.2%,1.7%,3.5%,1.780933333,7.4, 412.70 ," 3,267.66 ", 345.88 ,4.06
3/1/1992,139.1,0.4%,1.5%,3.1%,145.9,0.3%,1.7%,3.5%,1.583466667,7.4, 403.69 ," 3,235.46 ", 323.05 ,3.98
4/1/1992,139.4,0.2%,1.6%,3.2%,146.3,0.3%,1.8%,3.6%,1.386,7.4, 414.95 ," 3,359.12 ", 307.86 ,3.73
5/1/1992,139.7,0.2%,1.4%,2.8%,146.8,0.3%,1.8%,3.6%,1.807466667,7.6, 415.35 ," 3,396.88 ", 315.29 ,3.82
6/1/1992,140.1,0.3%,1.4%,2.7%,147.1,0.2%,1.7%,3.3%,2.228933333,7.8, 408.14 ," 3,318.52 ", 301.23 ,3.76
7/1/1992,140.5,0.3%,1.6%,3.2%,147.6,0.3%,1.7%,3.4%,2.6504,7.7, 424.22 ," 3,393.78 ", 310.89 ,3.25
8/1/1992,140.8,0.2%,1.6%,3.2%,147.9,0.2%,1.7%,3.4%,3.030366667,7.6, 414.03 ," 3,257.35 ", 299.26 ,3.3
9/1/1992,141.1,0.2%,1.4%,2.9%,148.1,0.1%,1.5%,3.0%,3.410333333,7.6, 417.80 ," 3,271.66 ", 313.18 ,3.22
10/1/1992,141.7,0.4%,1.6%,3.3%,148.8,0.5%,1.7%,3.4%,3.7903,7.3, 418.68 ," 3,226.28 ", 329.15 ,3.1
11/1/1992,142.1,0.3%,1.7%,3.4%,149.2,0.3%,1.6%,3.3%,3.126633333,7.4, 431.35 ," 3,305.16 ", 350.96 ,3.09
12/1/1992,142.3,0.1%,1.6%,3.1%,149.6,0.3%,1.7%,3.4%,2.462966667,7.4, 435.71 ," 3,301.11 ", 360.18 ,2.92
1/1/1993,142.8,0.4%,1.6%,3.3%,150.1,0.3%,1.7%,3.4%,1.7993,7.3, 438.78 ," 3,310.03 ", 370.56 ,3.02
2/1/1993,143.1,0.2%,1.6%,3.3%,150.6,0.3%,1.8%,3.7%,1.7253,7.1, 443.38 ," 3,370.81 ", 351.14 ,3.03
3/1/1993,143.3,0.1%,1.6%,3.1%,150.8,0.1%,1.8%,3.6%,1.6513,7, 451.67 ," 3,435.11 ", 359.42 ,3.07
4/1/1993,143.8,0.3%,1.5%,3.0%,151.4,0.4%,1.7%,3.5%,1.5773,7.1, 440.19 ," 3,427.55 ", 339.94 ,2.96
5/1/1993,144.2,0.3%,1.5%,3.0%,151.8,0.3%,1.7%,3.5%,1.999666667,7.1, 450.21 ," 3,527.43 ", 368.11 ,3
6/1/1993,144.3,0.1%,1.4%,2.8%,152.1,0.2%,1.7%,3.3%,2.422033333,7, 450.53 ," 3,516.08 ", 366.12 ,3.04
7/1/1993,144.5,0.1%,1.2%,2.4%,152.3,0.1%,1.5%,2.9%,2.8444,6.9, 448.13 ," 3,539.47 ", 352.86 ,3.06
8/1/1993,144.8,0.2%,1.2%,2.4%,152.8,0.3%,1.5%,2.9%,3.852966667,6.8, 463.56 ," 3,651.25 ", 372.65 ,3.03
9/1/1993,145,0.1%,1.2%,2.4%,152.9,0.1%,1.4%,2.8%,4.861533333,6.7, 458.93 ," 3,555.12 ", 382.71 ,3.09
10/1/1993,145.6,0.4%,1.3%,2.5%,153.4,0.3%,1.3%,2.6%,5.8701,6.8, 467.83 ," 3,680.59 ", 390.98 ,2.99
11/1/1993,146,0.3%,1.2%,2.5%,153.9,0.3%,1.4%,2.8%,4.773833333,6.6, 461.79 ," 3,683.95 ", 386.76 ,3.02
12/1/1993,146.3,0.2%,1.4%,2.8%,154.3,0.3%,1.4%,2.9%,3.677566667,6.5, 466.45 ," 3,754.09 ", 397.72 ,2.96
1/1/1994,146.3,0.0%,1.2%,2.5%,154.5,0.1%,1.4%,2.9%,2.5813,6.6, 481.61 ," 3,978.36 ", 413.99 ,3.05
2/1/1994,146.7,0.3%,1.3%,2.6%,154.8,0.2%,1.3%,2.6%,2.9567,6.6, 467.14 ," 3,832.02 ", 412.17 ,3.25
3/1/1994,147.1,0.3%,1.4%,2.9%,155.3,0.3%,1.6%,3.1%,3.3321,6.5, 445.76 ," 3,635.96 ", 382.96 ,3.34
4/1/1994,147.2,0.1%,1.1%,2.2%,155.5,0.1%,1.4%,2.7%,3.7075,6.4, 450.91 ," 3,681.69 ", 373.25 ,3.56
5/1/1994,147.5,0.2%,1.0%,2.1%,155.9,0.3%,1.3%,2.6%,3.617733333,6.1, 456.51 ," 3,758.37 ", 378.85 ,4.01
6/1/1994,147.9,0.3%,1.1%,2.2%,156.4,0.3%,1.4%,2.7%,3.527966667,6.1, 444.27 ," 3,624.96 ", 360.30 ,4.25
7/1/1994,148.4,0.3%,1.4%,2.9%,156.7,0.2%,1.4%,2.8%,3.4382,6.1, 458.25 ," 3,764.50 ", 370.16 ,4.26
8/1/1994,149,0.4%,1.6%,3.1%,157.1,0.3%,1.5%,3.0%,3.802766667,6, 475.50 ," 3,913.42 ", 397.90 ,4.47
9/1/1994,149.3,0.2%,1.5%,3.0%,157.5,0.3%,1.4%,2.8%,4.167333333,5.9, 462.71 ," 3,843.19 ", 393.85 ,4.73
10/1/1994,149.4,0.1%,1.5%,3.0%,157.8,0.2%,1.5%,3.0%,4.5319,5.8, 472.35 ," 3,908.12 ", 413.05 ,4.76
11/1/1994,149.8,0.3%,1.6%,3.1%,158.2,0.3%,1.5%,3.0%,3.961033333,5.6, 453.69 ," 3,739.22 ", 404.82 ,5.29
12/1/1994,150.1,0.2%,1.5%,3.0%,158.3,0.1%,1.2%,2.4%,3.390166667,5.5, 461.17 ," 3,834.44 ", 404.27 ,5.45
1/1/1995,150.5,0.3%,1.4%,2.8%,159,0.4%,1.5%,2.9%,2.8193,5.6, 470.42 ," 3,843.86 ", 405.33 ,5.53
2/1/1995,150.9,0.3%,1.3%,2.6%,159.4,0.3%,1.5%,2.9%,2.055366667,5.4, 487.39 ," 4,011.05 ", 432.50 ,5.92
3/1/1995,151.2,0.2%,1.3%,2.5%,159.9,0.3%,1.5%,3.0%,1.291433333,5.4, 500.71 ," 4,157.69 ", 447.15 ,5.98
4/1/1995,151.8,0.4%,1.6%,3.2%,160.4,0.3%,1.6%,3.3%,0.5275,5.8, 514.71 ," 4,321.27 ", 469.56 ,6.05
5/1/1995,152.1,0.2%,1.5%,3.1%,160.7,0.2%,1.6%,3.2%,1.753266667,5.6, 533.40 ," 4,465.14 ", 488.10 ,6.01
6/1/1995,152.4,0.2%,1.5%,3.1%,161.1,0.2%,1.8%,3.5%,2.979033333,5.6, 544.75 ," 4,556.10 ", 538.03 ,6
7/1/1995,152.6,0.1%,1.4%,2.8%,161.4,0.2%,1.5%,3.0%,4.2048,5.7, 562.06 ," 4,708.47 ", 568.88 ,5.85
8/1/1995,152.9,0.2%,1.3%,2.7%,161.8,0.2%,1.5%,3.0%,3.972216667,5.7, 561.88 ," 4,610.56 ", 576.77 ,5.74
9/1/1995,153.1,0.1%,1.3%,2.5%,162.2,0.2%,1.4%,2.9%,3.739633333,5.6, 584.41 ," 4,789.08 ", 585.08 ,5.8
10/1/1995,153.5,0.3%,1.1%,2.2%,162.7,0.3%,1.4%,2.9%,3.50705,5.5, 581.50 ," 4,755.48 ", 598.78 ,5.76
11/1/1995,153.7,0.1%,1.1%,2.1%,163,0.2%,1.4%,2.9%,3.274466667,5.6, 605.37 ," 5,074.50 ", 593.72 ,5.8
12/1/1995,153.9,0.1%,1.0%,2.0%,163.1,0.1%,1.2%,2.5%,3.041883333,5.6, 615.93 ," 5,117.10 ", 576.23 ,5.6
1/1/1996,154.7,0.5%,1.4%,2.8%,163.7,0.4%,1.4%,2.9%,2.8093,5.6, 636.02 ," 5,395.30 ", 591.82 ,5.56
2/1/1996,155,0.2%,1.4%,2.7%,164,0.2%,1.4%,2.7%,3.279933333,5.5, 640.43 ," 5,485.60 ", 622.83 ,5.22
3/1/1996,155.5,0.3%,1.6%,3.1%,164.4,0.2%,1.4%,2.7%,3.750566667,5.5, 645.50 ," 5,587.14 ", 609.69 ,5.31
4/1/1996,156.1,0.4%,1.7%,3.4%,164.6,0.1%,1.2%,2.3%,4.2212,5.6, 654.17 ," 5,569.08 ", 666.73 ,5.22
5/1/1996,156.4,0.2%,1.8%,3.5%,165,0.2%,1.2%,2.5%,3.537633333,5.6, 669.12 ," 5,643.18 ", 692.39 ,5.24
6/1/1996,156.7,0.2%,1.8%,3.6%,165.4,0.2%,1.4%,2.8%,2.854066667,5.3, 670.63 ," 5,654.63 ", 677.30 ,5.27
7/1/1996,157,0.2%,1.5%,3.0%,165.7,0.2%,1.2%,2.4%,2.1705,5.5, 639.95 ," 5,528.91 ", 636.01 ,5.4
8/1/1996,157.2,0.1%,1.4%,2.8%,166,0.2%,1.2%,2.4%,3.0194,5.1, 651.99 ," 5,616.21 ", 663.57 ,5.22
9/1/1996,157.7,0.3%,1.4%,2.8%,166.5,0.3%,1.3%,2.6%,3.8683,5.2, 687.33 ," 5,882.17 ", 737.58 ,5.3
10/1/1996,158.2,0.3%,1.3%,2.7%,166.8,0.2%,1.3%,2.7%,4.7172,5.2, 705.27 ," 6,029.38 ", 751.99 ,5.24
11/1/1996,158.7,0.3%,1.5%,2.9%,167.2,0.2%,1.3%,2.7%,5.015133333,5.4, 757.02 ," 6,521.70 ", 834.01 ,5.31
12/1/1996,159.1,0.3%,1.5%,3.1%,167.4,0.1%,1.2%,2.4%,5.313066667,5.4, 740.74 ," 6,448.27 ", 821.36 ,5.29
1/1/1997,159.4,0.2%,1.5%,3.1%,167.8,0.2%,1.3%,2.5%,5.611,5.3, 786.16 ," 6,813.09 ", 921.55 ,5.25
2/1/1997,159.7,0.2%,1.6%,3.2%,168.1,0.2%,1.3%,2.5%,4.461766667,5.2, 790.82 ," 6,877.74 ", 850.46 ,5.19
3/1/1997,159.8,0.1%,1.3%,2.7%,168.4,0.2%,1.1%,2.3%,3.312533333,5.2, 757.12 ," 6,583.48 ", 797.06 ,5.39
4/1/1997,159.9,0.1%,1.1%,2.1%,168.9,0.3%,1.3%,2.5%,2.1633,5.1, 801.34 ," 7,008.99 ", 874.74 ,5.51
5/1/1997,159.9,0.0%,0.8%,1.5%,169.2,0.2%,1.2%,2.4%,2.615733333,4.9, 848.28 ," 7,331.04 ", 958.85 ,5.5
6/1/1997,160.2,0.2%,0.7%,1.4%,169.4,0.1%,1.2%,2.4%,3.068166667,5, 885.14 ," 7,672.79 ", 957.30 ,5.56
7/1/1997,160.4,0.1%,0.6%,1.3%,169.7,0.2%,1.1%,2.3%,3.5206,4.9, 954.31 ," 8,222.61 "," 1,107.03 ",5.52
8/1/1997,160.8,0.2%,0.7%,1.4%,169.8,0.1%,1.0%,2.0%,3.779833333,4.8, 899.47 ," 7,622.42 "," 1,074.17 ",5.54
9/1/1997,161.2,0.2%,0.9%,1.8%,170.2,0.2%,1.1%,2.1%,4.039066667,4.9, 947.28 ," 7,945.26 "," 1,097.17 ",5.54
10/1/1997,161.5,0.2%,1.0%,2.0%,170.6,0.2%,1.0%,2.0%,4.2983,4.7, 914.62 ," 7,442.08 "," 1,019.62 ",5.5
11/1/1997,161.7,0.1%,1.1%,2.3%,170.8,0.1%,0.9%,1.9%,4.279433333,4.6, 955.40 ," 7,823.13 "," 1,050.51 ",5.52
12/1/1997,161.8,0.1%,1.0%,2.0%,171.2,0.2%,1.1%,2.1%,4.260566667,4.7, 970.43 ," 7,908.25 ", 990.80 ,5.5
1/1/1998,162,0.1%,1.0%,2.0%,171.6,0.2%,1.1%,2.2%,4.2417,4.6, 980.28 ," 7,906.50 "," 1,071.13 ",5.56
2/1/1998,162,0.0%,0.7%,1.5%,171.9,0.2%,1.2%,2.5%,3.300066667,4.6," 1,049.34 "," 8,545.72 "," 1,194.13 ",5.51
3/1/1998,162,0.0%,0.5%,1.0%,172.2,0.2%,1.2%,2.4%,2.358433333,4.7," 1,101.75 "," 8,799.81 "," 1,220.66 ",5.49
4/1/1998,162.2,0.1%,0.4%,0.9%,172.5,0.2%,1.1%,2.2%,1.4168,4.3," 1,111.77 "," 9,063.37 "," 1,248.12 ",5.45
5/1/1998,162.6,0.2%,0.6%,1.1%,172.9,0.2%,1.2%,2.5%,2.040666667,4.4," 1,090.82 "," 8,899.95 "," 1,192.07 ",5.49
6/1/1998,162.8,0.1%,0.6%,1.2%,173.2,0.2%,1.2%,2.3%,2.664533333,4.5," 1,133.84 "," 8,952.02 "," 1,337.34 ",5.56
7/1/1998,163.2,0.2%,0.7%,1.5%,173.5,0.2%,1.1%,2.2%,3.2884,4.5," 1,120.67 "," 8,883.29 "," 1,377.26 ",5.54
8/1/1998,163.4,0.1%,0.9%,1.7%,174,0.3%,1.2%,2.4%,4.053866667,4.5, 957.53 ," 7,539.07 "," 1,140.34 ",5.55
9/1/1998,163.5,0.1%,0.9%,1.9%,174.2,0.1%,1.2%,2.3%,4.819333333,4.6," 1,017.05 "," 7,842.62 "," 1,345.48 ",5.51
10/1/1998,163.9,0.2%,1.0%,2.1%,174.4,0.1%,1.1%,2.2%,5.5848,4.5," 1,098.67 "," 8,592.10 "," 1,400.52 ",5.07
11/1/1998,164.1,0.1%,0.9%,1.8%,174.8,0.2%,1.1%,2.2%,5.220433333,4.4," 1,163.63 "," 9,124.28 "," 1,557.90 ",4.83
12/1/1998,164.4,0.2%,1.0%,2.0%,175.4,0.3%,1.3%,2.5%,4.856066667,4.4," 1,229.23 "," 9,201.26 "," 1,836.01 ",4.68
1/1/1999,164.7,0.2%,0.9%,1.8%,175.6,0.1%,1.2%,2.4%,4.4917,4.3," 1,279.64 "," 9,358.83 "," 2,127.19 ",4.63
2/1/1999,164.7,0.0%,0.8%,1.6%,175.6,0.0%,0.9%,1.8%,3.756966667,4.4," 1,238.33 "," 9,306.58 "," 1,925.28 ",4.76
3/1/1999,164.8,0.1%,0.8%,1.6%,175.7,0.1%,0.9%,1.7%,3.022233333,4.2," 1,286.42 "," 9,786.16 "," 2,106.39 ",4.81
4/1/1999,165.9,0.7%,1.2%,2.4%,176.3,0.3%,1.1%,2.2%,2.2875,4.3," 1,335.18 "," 10,789.04 "," 2,136.39 ",4.74
5/1/1999,166,0.1%,1.2%,2.3%,176.5,0.1%,1.0%,1.9%,3.1329,4.2," 1,301.84 "," 10,559.74 "," 2,089.70 ",4.74
6/1/1999,166,0.0%,1.0%,1.9%,176.6,0.1%,0.7%,1.4%,3.9783,4.3," 1,372.66 "," 10,970.80 "," 2,296.77 ",4.76
7/1/1999,166.7,0.4%,1.2%,2.4%,177.1,0.3%,0.9%,1.7%,4.8237,4.3," 1,328.72 "," 10,655.15 "," 2,270.93 ",4.99
8/1/1999,167.1,0.2%,1.5%,2.9%,177.3,0.1%,1.0%,1.9%,5.148466667,4.2," 1,320.41 "," 10,829.28 "," 2,396.87 ",5.07
9/1/1999,167.8,0.4%,1.8%,3.6%,177.8,0.3%,1.2%,2.4%,5.473233333,4.2," 1,282.71 "," 10,336.95 "," 2,407.90 ",5.22
10/1/1999,168.1,0.2%,1.3%,2.7%,178.1,0.2%,1.0%,2.0%,5.798,4.1," 1,362.93 "," 10,731.76 "," 2,637.44 ",5.2
11/1/1999,168.4,0.2%,1.4%,2.9%,178.4,0.2%,1.1%,2.2%,5.662166667,4.1," 1,388.95 "," 10,877.81 "," 2,966.71 ",5.42
12/1/1999,168.8,0.2%,1.7%,3.4%,178.7,0.2%,1.2%,2.4%,5.526333333,4," 1,469.25 "," 11,497.12 "," 3,707.83 ",5.3
1/1/2000,169.3,0.3%,1.6%,3.1%,179.3,0.3%,1.2%,2.5%,5.3905,4," 1,394.46 "," 10,940.53 "," 3,570.05 ",5.45
2/1/2000,170,0.4%,1.7%,3.5%,179.4,0.1%,1.2%,2.4%,5.3235,4.1," 1,359.78 "," 10,128.31 "," 4,266.94 ",5.73
3/1/2000,171,0.6%,1.9%,3.8%,180,0.3%,1.2%,2.5%,5.2565,4," 1,498.58 "," 10,921.92 "," 4,397.84 ",5.85
4/1/2000,170.9,-0.1%,1.7%,3.3%,180.3,0.2%,1.2%,2.5%,5.1895,3.8," 1,456.04 "," 10,733.91 "," 3,773.18 ",6.02
5/1/2000,171.2,0.2%,1.7%,3.3%,180.7,0.2%,1.3%,2.6%,4.374633333,4," 1,420.65 "," 10,522.33 "," 3,324.08 ",6.27
6/1/2000,172.2,0.6%,2.0%,4.0%,181.1,0.2%,1.3%,2.7%,3.559766667,4," 1,454.60 "," 10,447.89 "," 3,763.79 ",6.53
7/1/2000,172.7,0.3%,2.0%,4.0%,181.5,0.2%,1.2%,2.5%,2.7449,4," 1,430.84 "," 10,521.98 "," 3,609.35 ",6.54
