Date,Raw_pcpi,Pct_pcpi,Raw_pcpix,Pct_pcpix,6m_change_pcpi,6m_change_pcpix
1992-04-01,139.4,0.0021567217828901,146.3,0.0027416038382455,1.6034985422740622,1.809324982602667
1992-05-01,139.7,0.0021520803443326,146.8,0.0034176349965824,1.3788098693758855,1.8030513176144458
1992-06-01,140.1,0.0028632784538296,147.1,0.002043596730245,1.374819102749636,1.6586040082930298
1992-07-01,140.5,0.0028551034975017,147.6,0.0033990482664854,1.5907447577729439,1.7229496898690577
1992-08-01,140.8,0.0021352313167259,147.9,0.0020325203252034,1.5873015873016039,1.719394773039884
1992-09-01,141.1,0.0021306818181816,148.1,0.0013522650439485,1.4378145219266614,1.5078821110349416
1992-10-01,141.7,0.0042523033309709,148.8,0.0047265361242405,1.6499282639885093,1.708817498291193
1992-11-01,142.1,0.0028228652081863,149.2,0.0026881720430105,1.717967072297788,1.634877384196165
1992-12-01,142.3,0.0014074595355384,149.6,0.002680965147453,1.570306923625986,1.6995241332427025
1993-01-01,142.8,0.0035137034434293,150.1,0.0033422459893048,1.6370106761566028,1.6937669376693831
1993-02-01,143.1,0.0021008403361342,150.6,0.0033311125916055,1.633522727272707,1.8255578093306246
1993-03-01,143.3,0.0013976240391335,150.8,0.0013280212483401,1.5591778880226892,1.823092505064161
1993-04-01,143.8,0.0034891835310537,151.4,0.0039787798408488,1.482004234297829,1.7473118279569766
1993-05-01,144.2,0.002781641168289,151.8,0.0026420079260238,1.477832512315258,1.7426273458445163
1993-06-01,144.3,0.0006934812760057,152.1,0.0019762845849802,1.4054813773717534,1.6711229946523964
1993-07-01,144.5,0.0013860013860012,152.3,0.0013149243918475,1.1904761904761862,1.4656895403064807
1993-08-01,144.8,0.002076124567474,152.8,0.0032829940906107,1.1879804332634691,1.4608233731739917
1993-09-01,145.0,0.0013812154696131,152.9,0.00065445026178,1.1863224005582707,1.392572944297088
1993-10-01,145.6,0.0041379310344826,153.4,0.0032701111837802,1.2517385257301727,1.3210039630118908
1993-11-01,146.0,0.0027472527472527,153.9,0.0032594524119948,1.2482662968099856,1.383399209486158
1993-12-01,146.3,0.002054794520548,154.3,0.0025990903183885,1.3860013860013787,1.4464168310322378
1994-01-01,146.3,0.0,154.5,0.0012961762799739,1.245674740484426,1.4445173998686833
1994-02-01,146.7,0.0027341079972658,154.8,0.0019417475728156,1.3121546961325725,1.308900523560208
1994-03-01,147.1,0.0027266530334015,155.3,0.0032299741602066,1.4482758620689706,1.5696533682145297
1994-04-01,147.2,0.0006798096532969,155.5,0.0012878300064391,1.098901098901095,1.3689700130377958
1994-05-01,147.5,0.0020380434782609,155.9,0.002572347266881,1.0273972602739656,1.299545159194282
1994-06-01,147.9,0.0027118644067796,156.4,0.0032071840923668,1.0936431989063466,1.3609850939727774
1994-07-01,148.4,0.0033806626098715,156.7,0.0019181585677747,1.4354066985645897,1.423948220064708
1994-08-01,149.0,0.0040431266846361,157.1,0.0025526483726867,1.5678254942058656,1.4857881136950857
1994-09-01,149.3,0.002013422818792,157.5,0.0025461489497136,1.4955812372535737,1.4166130070830674
1994-10-01,149.4,0.000669792364367,157.8,0.001904761904762,1.4945652173913082,1.479099678456608
1994-11-01,149.8,0.0026773761713521,158.2,0.0025348542458807,1.5593220338983027,1.475304682488754
1994-12-01,150.1,0.002002670226969,158.3,0.0006321112515803,1.487491548343467,1.2148337595907943
1995-01-01,150.5,0.0026648900732844,159.0,0.0044219835754895,1.4150943396226356,1.4677728142948432
1995-02-01,150.9,0.00265780730897,159.4,0.0025157232704402,1.2751677852349097,1.4640356460853043
1995-03-01,151.2,0.0019880715705764,159.9,0.0031367628607277,1.272605492297374,1.5238095238095273
1995-04-01,151.8,0.0039682539682541,160.4,0.0031269543464664,1.6064257028112428,1.6476552598225558
1995-05-01,152.1,0.0019762845849802,160.7,0.0018703241895261,1.5353805073431204,1.5802781289506962
1995-06-01,152.4,0.0019723865877712,161.1,0.0024891101431239,1.5323117921385743,1.7687934301958252
1995-07-01,152.6,0.0013123359580051,161.4,0.0018621973929238,1.3953488372093092,1.5094339622641506
1995-08-01,152.9,0.0019659239842726,161.8,0.0024783147459728,1.3253810470510219,1.505646173149322
1995-09-01,153.1,0.001308044473512,162.2,0.0024721878862792,1.256613756613767,1.4383989993745905
1995-10-01,153.5,0.0026126714565644,162.7,0.0030826140567201,1.1198945981554687,1.4339152119700715
1995-11-01,153.7,0.001302931596091,163.0,0.0018438844499077,1.051939513477973,1.431238332296214
1995-12-01,153.9,0.0013012361743658,163.1,0.0006134969325153,0.9842519685039353,1.2414649286157653
1996-01-01,154.7,0.0051981806367771,163.7,0.0036787247087675,1.3761467889908285,1.4250309789343163
1996-02-01,155.0,0.0019392372333548,164.0,0.001832620647526,1.373446697187708,1.3597033374536327
1996-03-01,155.5,0.0032258064516128,164.4,0.0024390243902439,1.5676028739386005,1.356350184956856
1996-04-01,156.1,0.0038585209003214,164.6,0.0012165450121652,1.693811074918572,1.1677934849416038
1996-05-01,156.4,0.0019218449711724,165.0,0.0024301336573511,1.7566688353936266,1.2269938650306678
1996-06-01,156.7,0.0019181585677747,165.4,0.0024242424242424,1.8193632228719947,1.4101778050275904
1996-07-01,157.0,0.001914486279515,165.7,0.0018137847642079,1.486748545572092,1.221747098350634
1996-08-01,157.2,0.0012738853503184,166.0,0.0018105009052504,1.4193548387096744,1.2195121951219523
1996-09-01,157.7,0.0031806615776082,166.5,0.0030120481927711,1.414790996784565,1.2773722627737127
1996-10-01,158.2,0.0031705770450221,166.8,0.0018018018018017,1.3452914798206317,1.3365735115431487
1996-11-01,158.7,0.0031605562579013,167.2,0.0023980815347719,1.4705882352941124,1.3333333333333197
